tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,19,2025.09.30 14:30,EUR,-19.0444089348,-19.5608003637,-0.8526349857,-0.3037414937,0.4285714286
M30,19,2025.09.30 14:30,GBP,7.2141272503,1.6542991205,0.3208151383,0.3117835139,0.5714285714
M30,19,2025.09.30 14:30,JPY,-11.7373940880,-13.8627819528,-0.3371483953,1.9566009027,1.0000000000
M30,19,2025.09.30 14:30,CHF,11.6050383956,6.9232926236,0.4762124237,0.0797432976,0.4285714286
M30,19,2025.09.30 14:30,CAD,4.1385614809,10.6256323235,0.1719850214,-1.4636408633,1.0000000000
M30,19,2025.09.30 14:30,AUD,-6.8415318222,-15.8571237801,-0.2161542387,0.8312021676,0.7142857143
M30,19,2025.09.30 14:30,NZD,2.3303792269,1.0168162212,0.0860198152,-0.4358381180,0.4285714286
M30,20,2025.09.30 14:00,USD,38.2592841311,42.4412017826,1.0526075735,1.0308064830,0.7142857143
M30,20,2025.09.30 14:00,EUR,-5.1677625439,-10.8470554381,-0.2309936115,0.0113275926,0.5714285714
M30,20,2025.09.30 14:00,GBP,-0.6384831378,12.8708389565,-0.0293291002,-0.8675081499,0.7142857143
M30,20,2025.09.30 14:00,JPY,-12.5128255188,-11.0449217880,-0.3558630545,0.9341541338,0.8571428571
M30,20,2025.09.30 14:00,CHF,-12.1917941879,-16.9398670567,-0.5143989383,-1.2042735245,1.0000000000
M30,20,2025.09.30 14:00,CAD,1.9736805523,-4.2277661156,0.0819847495,-0.6879769201,0.5714285714
M30,20,2025.09.30 14:00,AUD,4.7679647935,12.4580097886,0.1517056639,1.6330239297,1.0000000000
M30,20,2025.09.30 14:00,NZD,-14.4900640886,-24.7104401293,-0.5358915183,-0.8495535446,0.8571428571
M30,21,2025.09.30 13:30,USD,13.9273045284,-5.5441296658,0.3818862549,0.6762284732,0.8571428571
M30,21,2025.09.30 13:30,EUR,11.7567128174,4.0610128790,0.5377493311,1.1128542924,0.7142857143
M30,21,2025.09.30 13:30,GBP,-9.5635508764,-19.2784654868,-0.4430840573,-0.2944743531,0.5714285714
M30,21,2025.09.30 13:30,JPY,-15.1958694747,-15.3911144784,-0.4108176388,0.0633549868,0.5714285714
M30,21,2025.09.30 13:30,CHF,-25.0689074833,-29.0160069210,-1.0659937455,-1.8944947762,1.0000000000
M30,21,2025.09.30 13:30,CAD,13.4251253039,21.5967796170,0.5578593930,-0.8999422593,0.8571428571
M30,21,2025.09.30 13:30,AUD,17.5445397548,54.8333005621,0.5386425680,1.3428406144,1.0000000000
M30,21,2025.09.30 13:30,NZD,-6.8253545701,-11.2613765060,-0.2529136025,-0.1063669782,0.7142857143
M30,22,2025.09.30 13:00,USD,27.1703980045,61.3226628465,0.7496975634,-0.1972409413,0.5714285714
