tf,anchor_shift,bar_time,pair,ifm_light
M30,11,2025.09.26 18:00,EURGBP,20.0000000000
M30,11,2025.09.26 18:00,EURJPY,29.9792085170
M30,11,2025.09.26 18:00,EURNZD,47.6312935127
M30,11,2025.09.26 18:00,EURUSD,73.1497716265
M30,11,2025.09.26 18:00,GBPAUD,68.7299872078
M30,11,2025.09.26 18:00,GBPCAD,86.6666666667
M30,11,2025.09.26 18:00,GBPCHF,73.3333333333
M30,11,2025.09.26 18:00,GBPJPY,78.2060954776
M30,11,2025.09.26 18:00,GBPNZD,79.8094883094
M30,11,2025.09.26 18:00,GBPUSD,86.6666666667
M30,11,2025.09.26 18:00,NZDCAD,86.6666666667
M30,11,2025.09.26 18:00,NZDCHF,52.5421486480
M30,11,2025.09.26 18:00,NZDJPY,44.8694858490
M30,11,2025.09.26 18:00,NZDUSD,82.5741418468
M30,11,2025.09.26 18:00,USDCAD,60.5011084988
M30,11,2025.09.26 18:00,USDCHF,25.9189739637
M30,11,2025.09.26 18:00,USDJPY,20.0000000000
M30,12,2025.09.26 17:30,AUDCAD,85.6148470408
M30,12,2025.09.26 17:30,AUDCHF,67.4496141836
M30,12,2025.09.26 17:30,AUDJPY,38.0710262397
M30,12,2025.09.26 17:30,AUDNZD,71.8283699260
M30,12,2025.09.26 17:30,AUDUSD,74.1917466373
M30,12,2025.09.26 17:30,CADCHF,40.0000000000
M30,12,2025.09.26 17:30,CADJPY,13.3333333333
M30,12,2025.09.26 17:30,CHFJPY,32.9989444633
M30,12,2025.09.26 17:30,EURAUD,39.4556433814
M30,12,2025.09.26 17:30,EURCAD,80.0000000000
M30,12,2025.09.26 17:30,EURCHF,68.2071297781
M30,12,2025.09.26 17:30,EURGBP,20.0000000000
M30,12,2025.09.26 17:30,EURJPY,29.4638885588
M30,12,2025.09.26 17:30,EURNZD,53.3568000598
M30,12,2025.09.26 17:30,EURUSD,80.0000000000
M30,12,2025.09.26 17:30,GBPAUD,69.3211479850
M30,12,2025.09.26 17:30,GBPCAD,80.0000000000
M30,12,2025.09.26 17:30,GBPCHF,86.6666666667
M30,12,2025.09.26 17:30,GBPJPY,57.8408489861
M30,12,2025.09.26 17:30,GBPNZD,73.3333333333
M30,12,2025.09.26 17:30,GBPUSD,86.6666666667
M30,12,2025.09.26 17:30,NZDCAD,73.1709696112
M30,12,2025.09.26 17:30,NZDCHF,54.4580347497
M30,12,2025.09.26 17:30,NZDJPY,21.6796311966
M30,12,2025.09.26 17:30,NZDUSD,70.5987891787
M30,12,2025.09.26 17:30,USDCAD,52.7874563398
M30,12,2025.09.26 17:30,USDCHF,40.4902557650
M30,12,2025.09.26 17:30,USDJPY,20.0000000000
M30,13,2025.09.26 17:00,AUDCAD,67.7093501034
M30,13,2025.09.26 17:00,AUDCHF,33.6126097834
M30,13,2025.09.26 17:00,AUDJPY,44.8243256329
M30,13,2025.09.26 17:00,AUDNZD,59.1463031992
M30,13,2025.09.26 17:00,AUDUSD,51.1912986401
M30,13,2025.09.26 17:00,CADCHF,20.0000000000
M30,13,2025.09.26 17:00,CADJPY,21.4218573003
M30,13,2025.09.26 17:00,CHFJPY,57.2658755064
M30,13,2025.09.26 17:00,EURAUD,59.2085825208
M30,13,2025.09.26 17:00,EURCAD,86.6666666667
M30,13,2025.09.26 17:00,EURCHF,41.4402452289
M30,13,2025.09.26 17:00,EURGBP,20.0000000000
M30,13,2025.09.26 17:00,EURJPY,57.6137427402
M30,13,2025.09.26 17:00,EURNZD,75.0004206584
M30,13,2025.09.26 17:00,EURUSD,86.6666666667
M30,13,2025.09.26 17:00,GBPAUD,80.9616393942
M30,13,2025.09.26 17:00,GBPCAD,86.6666666667
M30,13,2025.09.26 17:00,GBPCHF,80.0000000000
M30,13,2025.09.26 17:00,GBPJPY,73.3333333333
M30,13,2025.09.26 17:00,GBPNZD,86.6666666667
M30,13,2025.09.26 17:00,GBPUSD,86.6666666667
M30,13,2025.09.26 17:00,NZDCAD,69.2567194774
M30,13,2025.09.26 17:00,NZDCHF,33.3333333333
M30,13,2025.09.26 17:00,NZDJPY,30.6884195568
M30,13,2025.09.26 17:00,NZDUSD,59.6445589959
M30,13,2025.09.26 17:00,USDCAD,47.6308206644
M30,13,2025.09.26 17:00,USDCHF,20.0000000000
M30,13,2025.09.26 17:00,USDJPY,25.9698899778
M30,14,2025.09.26 16:30,AUDCAD,71.3642122013
M30,14,2025.09.26 16:30,AUDCHF,44.5826816052
M30,14,2025.09.26 16:30,AUDJPY,79.4270009351
M30,14,2025.09.26 16:30,AUDNZD,86.6666666667
M30,14,2025.09.26 16:30,AUDUSD,62.5559094962
M30,14,2025.09.26 16:30,CADCHF,20.0000000000
M30,14,2025.09.26 16:30,CADJPY,66.0945002545
M30,14,2025.09.26 16:30,CHFJPY,86.6666666667
M30,14,2025.09.26 16:30,EURAUD,33.3500538364
M30,14,2025.09.26 16:30,EURCAD,58.0922618126
M30,14,2025.09.26 16:30,EURCHF,21.8143049324
M30,14,2025.09.26 16:30,EURGBP,20.0000000000
M30,14,2025.09.26 16:30,EURJPY,79.0240213505
M30,14,2025.09.26 16:30,EURNZD,61.0883176593
M30,14,2025.09.26 16:30,EURUSD,52.1863813117
M30,14,2025.09.26 16:30,GBPAUD,49.0932245268
M30,14,2025.09.26 16:30,GBPCAD,80.0000000000
M30,14,2025.09.26 16:30,GBPCHF,56.2480987251
M30,14,2025.09.26 16:30,GBPJPY,86.6666666667
M30,14,2025.09.26 16:30,GBPNZD,73.3333333333
M30,14,2025.09.26 16:30,GBPUSD,73.3333333333
M30,14,2025.09.26 16:30,NZDCAD,32.1528200154
M30,14,2025.09.26 16:30,NZDCHF,20.0000000000
M30,14,2025.09.26 16:30,NZDJPY,59.0234116100
M30,14,2025.09.26 16:30,NZDUSD,43.3410280670
M30,14,2025.09.26 16:30,USDCAD,43.6996855819
M30,14,2025.09.26 16:30,USDCHF,13.3333333333
